date, energy ,impact_e,lat,lat_dir,lon,lon_dir,alt,vel,
3/8/2010,30000000000,0.1,18.2,N,110.1,E,53,,
3/8/2010,3.23E+11,0.85,32,N,92.9,W,52,24.5,
2/28/2010,1.53E+11,0.44,48.7,N,21,E,37,15.1,
2/26/2010,2.37E+11,0.65,37.3,S,166,W,,,
2/24/2010,93000000000,0.28,2.6,S,102.2,W,,,
1/15/2010,4.92E+11,1.2,8.3,S,27,E,25,14,
12/31/2009,83000000000,0.26,,,,,,,
12/31/2009,1.02E+11,0.31,37.9,N,178.3,W,20.7,,
11/25/2009,64000000000,0.2,52.8,S,136.5,E,,,
11/21/2009,1E+13,18,22,S,29.2,E,38,32.1,
11/18/2009,85000000000,0.26,,,,,,,
11/18/2009,7.36E+11,1.8,40.4,N,113.2,W,31.5,,
11/14/2009,23000000000,0.082,,,,,,,
11/7/2009,22000000000,0.079,45.5,N,157.7,W,,,
11/7/2009,42000000000,0.14,24,N,64.1,E,37,,
10/11/2009,71000000000,0.22,78.3,S,70.2,E,27.8,,
10/8/2009,2E+13,33,4.2,S,120.6,E,19.1,19.2,
9/27/2009,89000000000,0.27,36,S,67.6,W,37,,
9/18/2009,1.44E+11,0.42,7.7,N,29.5,W,,,
9/4/2009,9.65E+11,2.3,42.5,N,110,E,28.3,24,
8/23/2009,2.8E+11,0.75,67.7,S,18.3,E,34,12.2,
7/31/2009,25000000000,0.089,8.9,N,121.9,W,,,
7/16/2009,7.27E+11,1.8,24.4,S,59.8,W,32.2,,
7/3/2009,27000000000,0.095,,,,,,,
6/27/2009,32000000000,0.11,26.6,S,12.6,W,26.1,15.2,
6/20/2009,27000000000,0.095,,,,,,,
6/18/2009,33000000000,0.11,23.7,S,16,W,57.4,,
6/9/2009,2.81E+11,0.76,54.9,N,152.7,W,34.2,,
5/31/2009,1.43E+11,0.42,19.7,N,121,W,,,
5/13/2009,73000000000,0.23,,,,,,,
5/4/2009,1.4E+11,0.41,36.4,N,160.4,W,40.7,,
4/20/2009,22000000000,0.079,6,N,84.3,E,,,
4/10/2009,2.7E+11,0.73,44.7,S,25.7,E,32.4,19.1,
3/4/2009,1.7E+11,0.48,,,,,,,
2/20/2009,50000000000,0.16,64.9,S,70,W,,,
2/7/2009,1.6E+12,3.5,56.6,N,69.8,E,40,15.4,
1/12/2009,48000000000,0.16,47.8,N,44.3,W,,,
1/10/2009,23000000000,0.082,64,S,122.8,E,26.5,,
12/24/2008,35000000000,0.12,68.9,S,102,W,21.1,24.1,
12/12/2008,2.16E+11,0.6,7,S,9.7,W,50,,
12/9/2008,34000000000,0.12,,,,,,,
11/24/2008,1.46E+11,0.42,57.9,S,146.1,E,34.8,23.7,
11/21/2008,1.42E+11,0.41,53.1,N,109.9,W,28.2,12.9,
11/18/2008,25000000000,0.089,29.4,S,75.9,E,35.2,22.4,
11/9/2008,2.22E+11,0.61,14.5,N,112.7,E,29.6,,
10/21/2008,46000000000,0.15,32.8,N,165.6,W,29.6,11.3,
10/10/2008,1.8E+11,0.51,57.3,S,17,E,21.4,,
10/7/2008,3.95E+11,1,20.9,N,31.4,E,38.9,13.3,
9/9/2008,59000000000,0.19,,,,,,,
8/16/2008,1.31E+11,0.38,11.3,N,97.2,E,,,
8/12/2008,20000000000,0.073,11.6,S,175,W,,,
8/7/2008,41000000000,0.14,18.5,N,180,E,45.4,13.8,
7/23/2008,1.21E+11,0.36,38.6,N,68,E,31.5,14.5,
7/22/2008,61000000000,0.2,17.8,S,89.2,W,54.4,,
7/11/2008,52000000000,0.17,,,,,,,
7/8/2008,66000000000,0.21,72.8,N,147.3,E,52.2,21.7,
7/1/2008,36000000000,0.12,37.1,N,115.7,W,36.1,9.8,
6/27/2008,1.72E+11,0.49,26.9,S,17.7,W,33.7,23.1,
6/18/2008,21000000000,0.076,6.1,N,103.1,E,,,
5/29/2008,21000000000,0.076,15.7,N,83.5,W,,,
5/24/2008,1.5E+11,0.43,0.8,N,162,E,37,14.2,
5/22/2008,21000000000,0.076,46.9,N,134.5,E,,,
5/6/2008,57000000000,0.18,,,,,,,
4/30/2008,20000000000,0.073,33.6,S,35.1,W,,,
4/6/2008,77000000000,0.24,,,,,,,
3/15/2008,50000000000,0.16,28,N,41.5,W,26.7,12.9,
2/24/2008,74000000000,0.23,,,,,,,
2/19/2008,20000000000,0.073,48.9,N,119.8,W,,,
2/18/2008,50000000000,0.16,,,,,,,
2/17/2008,1.1E+11,0.33,74.9,N,73.4,W,40.4,13.9,
2/16/2008,71000000000,0.22,,,,,,,
1/18/2008,44000000000,0.15,,,,,,,
1/9/2008,41000000000,0.14,66.8,S,67.3,W,31.5,11.6,
12/26/2007,1.36E+11,0.4,61.6,S,158.9,W,,,
12/20/2007,1.22E+11,0.36,51.3,N,115.4,E,,,
10/25/2007,58000000000,0.19,40.9,S,91.3,E,46.3,,
10/12/2007,33000000000,0.11,88.5,N,116.6,E,37,18.4,
